REGIÓN,Inicial - Escolarizada,Inicial - No Escolarizada,Primaria,Secundaria,EBA,IESP,IEST,ESFA,ETP,,,,,
DRE AMAZONAS,64,13,294,66,4,1,1,0,6,,,,,
DRE ANCASH,164,29,504,146,11,1,0,0,11,,,,,
DRE APURÍMAC,85,3,281,103,8,1,1,0,6,,,,,
DRE AREQUIPA,139,22,336,132,24,0,9,0,23,,,,,
DRE AYACUCHO,106,24,341,94,10,1,3,1,13,,,,,
DRE CAJAMARCA,148,36,739,169,17,4,6,0,8,,,,,
DRE CALLAO,89,0,155,63,4,0,0,0,9,,,,,
DRE CUSCO,153,28,565,158,30,3,5,3,14,,,,,
DRE HUANCAVELICA,77,18,347,99,9,0,1,0,8,,,,,
DRE HUÁNUCO,87,30,339,80,10,0,1,0,6,,,,,
DRE ICA,125,2,218,64,16,1,6,0,18,,,,,
DRE JUNÍN,105,12,442,111,18,0,9,0,13,,,,,
DRE LA LIBERTAD,201,25,442,145,22,1,7,0,19,,,,,
DRE LAMBAYEQUE,102,11,296,99,15,0,7,0,11,,,,,
DRE LIMA METROPOLITANA,778,16,1179,577,129,1,28,0,119,,,,,
DRE LIMA PROVINCIAS,96,19,299,89,18,0,3,0,22,,,,,
DRE LORETO,54,3,155,41,14,1,3,1,12,,,,,
DRE MADRE DE DIOS,15,0,40,19,3,0,1,0,0,,,,,
DRE MOQUEGUA,40,4,61,28,3,0,1,0,5,,,,,
DRE PASCO,29,17,132,50,7,0,3,0,7,,,,,
DRE PIURA,197,18,620,242,20,1,8,0,17,,,,,
DRE PUNO,181,32,613,175,24,0,4,0,9,,,,,
DRE SAN MARTÍN,106,6,328,79,13,0,3,0,4,,,,,
DRE TACNA,28,5,68,41,10,0,1,0,4,,,,,
DRE TUMBES,28,5,46,30,4,1,1,0,4,,,,,
DRE UCAYALI,27,3,83,22,9,0,1,0,6,,,,,
